Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
Au-rich PCDs,Oyu Tolgoi Cu-Au,65.37,0.6,17.98,5.39,0.12,1.53,3.89,4.92,3.13,0.24,64.3,1055,16.5,111,6.7,956,15.9,32.8,3.78,15.5,3.49,1.13,3.54,0.58,3.35,0.63,1.93,0.27,2,0.32,3,0.4,2.63,1.54
Au-rich PCDs,Oyu Tolgoi Cu-Au,57.42,0.58,17.77,5.19,0.19,1.48,4.52,5.48,3.13,0.27,58.6,1035,19.2,91.9,6,770,15.4,30.9,3.7,16.1,3.5,1.2,3.8,0.6,3.3,0.7,2.1,0.3,2.1,0.3,3,0.5,3,1.3
Au-rich PCDs,Oyu Tolgoi Cu-Au,63.1,0.33,16.61,3.78,0.08,0.73,1.96,4.91,3.96,0.13,69,695,12.3,104,4.7,821,11.4,20.8,2.33,9.59,2.07,0.68,2.02,0.33,1.91,0.4,1.26,0.21,1.54,0.28,2.4,0.34,2.81,1.71
Au-rich PCDs,Oyu Tolgoi Cu-Au,65.13,0.31,16.21,3.68,0.1,0.79,1.97,4.99,3.36,0.12,60,499,12.1,111,4.7,841,11.5,21.9,2.49,10.1,2.09,0.68,1.97,0.31,1.9,0.4,1.25,0.2,1.46,0.25,2.5,0.34,2.63,1.32
Au-rich PCDs,Oyu Tolgoi Cu-Au,64.38,0.35,17.36,3.74,0.04,0.82,1.6,5.61,3.78,0.12,70,661,13,105,4.9,959,13.9,25.2,2.84,11.4,2.32,0.77,2.21,0.35,2.07,0.43,1.32,0.22,1.59,0.28,2.4,0.3,2.38,1.54
Au-rich PCDs,Oyu Tolgoi Cu-Au,60.23,0.56,17.84,5.8,0.05,1.56,3.43,4.33,4.15,0.28,101,876,25.2,170,7.7,829,17.4,37,4.97,18.2,4.27,1.32,4.18,0.68,3.99,0.8,2.42,0.36,2.37,0.38,4.3,0.42,3.39,2
Au-rich PCDs,Oyu Tolgoi Cu-Au,65.13,0.31,16.01,2.91,0.04,0.56,2.41,4.18,4.87,0.11,94,514,14.4,105,5.6,971,13.2,24.4,2.93,10.2,2.18,0.73,2.09,0.34,2.11,0.45,1.43,0.23,1.5,0.24,2.7,0.29,2.32,1.64
Au-rich PCDs,Almalyk Cu-Au,69.65,0.17,10.51,9.1,0.04,0.89,0.45,0.77,6.67,0.14,139,139,9.6,101,1.79,647,5.24,10.93,1.59,7.03,1.68,0.44,1.6,0.26,1.61,0.33,0.9,0.13,0.87,0.13,2.92,0.21,10.8,2.16
Au-rich PCDs,Almalyk Cu-Au,66.55,0.28,14.07,4.73,0.09,1.09,0.97,0.96,7.16,0.17,180,137,10.3,131,5.63,766,12.51,20.43,2.45,9.89,2.19,0.64,1.99,0.29,1.66,0.33,0.92,0.14,0.91,0.14,4.05,0.56,21.5,4.23
Au-rich PCDs,Almalyk Cu-Au,65.53,0.3,14.25,5.66,0.05,1.3,1.79,2.67,5.79,0.19,130,349,13.4,143,7.5,482,24.17,42.42,4.79,17.86,3.35,0.81,2.85,0.4,2.21,0.46,1.35,0.21,1.4,0.22,4.2,0.64,19.3,6.66
Au-rich PCDs,Almalyk Cu-Au,61.12,0.58,15.72,5.68,0.12,2.65,4.01,3.37,4.18,0.25,122,580,20,179,10.6,1594,37.75,69.39,8.07,30.53,5.38,1.2,4.63,0.65,3.65,0.74,2.04,0.32,2.09,0.32,5.14,0.85,19.5,6.73
Au-rich PCDs,Almalyk Cu-Au,60.49,0.58,15.75,5.65,0.1,2.72,4.43,3.75,3.84,0.25,95,468,18.8,178,10,1326,36.59,67.78,7.86,29.44,5.15,1.18,4.68,0.65,3.59,0.71,1.97,0.3,1.89,0.29,5.01,0.78,19.3,6.63
Au-rich PCDs,Almalyk Cu-Au,58.49,0.6,15.06,6.29,0.12,3.28,5.53,3.19,3.77,0.27,86,556,18.5,153,9.5,1570,36.02,66.55,7.88,30.19,5.24,1.27,4.92,0.67,3.53,0.7,1.92,0.3,1.97,0.29,4.5,0.77,17.6,6.32
Au-rich PCDs,Almalyk Cu-Au,60.18,0.61,15.8,5.69,0.1,2.74,4.13,3.69,4,0.25,108,508,20.2,183,11.7,1514,39.31,70.71,8.33,31.76,5.56,1.24,4.87,0.7,3.89,0.77,2.1,0.33,2.11,0.33,5.41,0.87,21.7,7.15
Au-rich PCDs,Almalyk Cu-Au,60.47,0.55,14.71,8.66,0.05,2.9,1.35,1.33,7.53,0.48,181.46,251.35,21.48,117.96,11.19,917.52,15.01,34.92,5.01,20.85,4.77,1.07,4.55,0.68,3.58,0.75,1.94,0.26,1.71,0.32,4.56,0.53,10.94,1.96
Au-rich PCDs,Almalyk Cu-Au,55.68,0.58,14.88,9.08,0.05,2.96,1.29,1.47,7.68,0.4,175.24,276.47,21.13,111.01,11.01,930.62,14.47,34.41,4.73,20.38,4.99,1.17,4.21,0.61,3.59,0.67,1.88,0.27,1.77,0.27,3.87,0.47,7.21,1.26
Au-rich PCDs,Almalyk Cu-Au,57.16,0.5,15.14,9.18,0.07,3,1.29,0.39,8.32,0.41,193.24,205.8,19.54,60.99,8.19,1001.53,14.12,34.04,4.85,19.89,4.86,1.11,4.54,0.63,3.5,0.71,1.8,0.24,1.69,0.25,2.43,0.4,5.25,3.9
Au-rich PCDs,Almalyk Cu-Au,69.83,0.22,12.87,1.78,0.05,0.79,0.94,0.29,8.76,0.06,210.63,109.82,21.77,143.09,8.11,732.54,21.57,42.63,5.13,18.57,3.96,0.77,3.92,0.61,3.39,0.78,2.08,0.32,1.99,0.29,4.66,1.05,14.74,6.36
Au-rich PCDs,Almalyk Cu-Au,65.92,0.28,14.17,4.41,0.06,1.14,1.25,1.97,7,0.18,159,223,13,132,8.62,657,13.73,26.72,3.51,13.89,2.97,0.75,2.52,0.38,2.2,0.44,1.21,0.18,1.2,0.19,4.14,0.89,23.1,4.18
Au-rich PCDs,Almalyk Cu-Au,64.19,0.29,13.51,8.1,0.09,1.47,1.22,2.28,6.18,0.18,142,233,13.3,131,6.37,453,18.54,33.25,4.13,15.85,3.14,0.75,2.76,0.42,2.3,0.46,1.25,0.19,1.27,0.2,4.02,0.63,18.4,5.26
Au-rich PCDs,Cobre Panama Cu-Mo-Au,63.71,0.47,16.04,4.82,0.17,1.84,5.21,4.07,1.7,0.18,26.7,448.8,14.5,106.4,7.5,956,17.9,31.4,3.61,14.1,2.66,0.79,2.55,0.41,2.25,0.53,1.42,0.23,1.47,0.25,2.7,0.5,3.3,1.2
